ID,Precinct,Stakeholder,Project,Milestone Submissions,Submission Category,Planned Submission Date,ACC Status,Priority,ACC Review ID,InSite Review Status,InSite Review Due Date,InSite Reviewer,InSite Review Output ACC URL,Comments
48,MD01-Wadi Yemm,M1-DP03-DAR,DREH-MD01-DP03 (DAR Villas & Townhouses),DAR 100DD DP03 West Town Houses,BIM Milestone,,,Low,7,,,"Othman Attallah, amjad.hammad",,
47,MD01-Wadi Yemm,M1-DP03-DAR,DREH-MD01-DP03 (DAR Villas & Townhouses),DAR DP03 BIM Documentation ,BIM Documentation,,SHARED,High,2,With InSite,27-Apr-26,muwafak.adel,,
46,MD01-Wadi Yemm,M1-DP03-DAR,DREH-MD01-DP03 (DAR Villas & Townhouses),DAR 100SD DP03 East Town Houses,BIM Milestone,,,High,6,,,"Othman Attallah, amjad.hammad",,
52,MD01-Wadi Yemm,M1-DP03-DAR,DREH-MD01-DP03 (DAR Villas & Townhouses),DAR 50SD DP03 Villas & Retail,BIM Milestone,,,,5,,,,,
33,MD01-Wadi Yemm,M1-DP04-ACE,REH-MD01-D04 (ACE Villas & Lounge),ACE 100CD Clubhouse,BIM Milestone,17-Apr-26,SHARED,,5,,,,,
32,MD01-Wadi Yemm,M1-DP04-ACE,REH-MD01-D04 (ACE Villas & Lounge),ACE BIM Documents,BIM Documentation,6-Apr-26,SHARED,,,,,,,
31,MD01-Wadi Yemm,M1-DP04-ACE,REH-MD01-D04 (ACE Villas & Lounge),ACE 50SD Villas Submission excluding ID,BIM Milestone,26-Mar-26,SHARED,,4,,,,,
24,MD01-Wadi Yemm,M1-DP01-AEDAS,REH-MD01-DP01 (AED Amphitheater),AED Amphitheater 100SD ,BIM Documentation,13-Mar-26,SHARED,,,,,,,
7,MD01-Wadi Yemm,M1-DP01-AEDAS,REH-MD01-DP01 (AED Amphitheater),AED Amphitheater 100SD ,BIM Milestone,13-Mar-26,SHARED,High,25,D,,"Othman Attallah, amjad.hammad",https://acc.autodesk.com/docs/files/projects/96d977b1-33ff-4b54-bbd8-a2df68f2fd3f?folderUrn=urn%3Aadsk.wipprod%3Afs.folder%3Aco.RXyBbXZ-RbipJCvQoN4GwQ&viewModel=detail&moduleId=folders,
25,MD01-Wadi Yemm,M1-DP01-AEDAS,REH-MD01-DP01 (AED Boutique Cluster),AED 100CD Boutique Cluster Resubmission,BIM Documentation,,In Progress,,,,,,,
11,MD01-Wadi Yemm,M1-DP01-AEDAS,REH-MD01-DP01 (AED Boutique Cluster),AED 100CD Boutique Cluster Resubmission,BIM Milestone,,In Progress,,,,,,,
9,MD01-Wadi Yemm,M1-DP01-AEDAS,REH-MD01-DP01 (AED Fortaleza Hotel),AED Fortaleza 50SD,BIM Milestone,4-Mar-26,SHARED,High,24,With InSite,15-Apr-26,Othman Attallah,https://acc.autodesk.com/docs/files/projects/96d977b1-33ff-4b54-bbd8-a2df68f2fd3f?folderUrn=urn%3Aadsk.wipprod%3Afs.folder%3Aco.QkbseLHxSWm49l3f0nr7rw&viewModel=detail&moduleId=folders,
28,MD01-Wadi Yemm,M1-DP01-AEDAS,REH-MD01-DP01 (AED Lighthouse Village),AED Lighthouse 100SD Resubmission,BIM Documentation,3-Mar-26,SHARED,High,31,,,,,
8,MD01-Wadi Yemm,M1-DP01-AEDAS,REH-MD01-DP01 (AED Lighthouse Village),AED Lighthouse 100SD Resubmission,BIM Milestone,3-Mar-26,SHARED,High,28,With InSite,28-Apr-26,"Othman Attallah, muwafak.adel",,
29,MD01-Wadi Yemm,M1-DP01-AEDAS,REH-MD01-DP01 (AED Sports Club),AED Sports Club 100SD,BIM Documentation,2-Mar-26,SHARED,High,,,,,,
